particle n.微粒,极小量
predator n.掠夺者,食肉动物
biological a.生物(学)的
theater n.戏院,剧场
glacial a.冰川(期)的,非常冷的
migration n.移居,迁移
stimulus n.促进(因素),刺激(物)
artisan n.工匠,技工
meteorite n.陨石, 流星
volcanic a.火山的,猛烈的
vegetation n.植物,草木
dinosaur n.恐龙
facial a.脸部的,面部的
cultural a.文化的,教养的
whig n.辉格党
cretaceous n./a.白垩纪(的)
terrestrial a.陆地的
groundwater n.地下水
ecosystem n.生态系统
introductory a.引导的,介绍的
helium n.氦
mar n.污点,瑕疵.vt.破坏.
dutch n.荷兰人.a.荷兰的
galaxy n.银河,星系
democrat n.民主主义者,美国民主党人
aquifer n.含水土层,蓄水层
crater n.弹坑
aggression n.进攻,侵略
pheromone n.<生化>信息素
diversity n.多样性,差异
geologist n.地质学者
eighteenth num.第十八,十八分之一
stratum n.地层,阶层
fungus n.真菌,真菌类植物
fuller n.漂洗工
ritual n.仪式,典礼
technological a.科技的
fiber n.光纤
geological a.地质学的
nutrient n.营养品.a.营养的
pastoralist n.田园诗的作者,牧民
leatherback n.棱龟(大海龟之一种)
tension n.紧张,拉力.vt.使拉紧,使绷紧
cambrian n.威尔斯人
climatic a.气候上的
cue n.暗示,提示
ceramic a.陶器的.n.陶瓷制品
lichen n.青苔,苔藓
habitat n.栖息地,住处
bur n.刺果
california n.加利福尼亚,加州
stud vt.镶嵌,点缀
geometric a.几何(学)的
mexico n.墨西哥(拉丁美洲国家)
rome n.罗马
factual a.事实的,实际的
philadelphia n.费城(美国宾西法尼亚州东南部港市)
permanent a.永久的,持久的
warmer n.使热的人,温热装置
paleolithic a.旧石器时代的
machinery n.机械,机器
ecologist n.生态学者
timberline n.树带界线
adaptation n.  适应, 改编, 改写本
petroleum n.石油
vapor n.水蒸气
comet n.彗星
creation n.创造,创作物
maya n.玛雅人,玛雅语
depict v.描述,描写
fantasy n.幻想
ecological a.生态学的
acorn n.橡树果,橡子
industrialization n.工业化,产业化
prehistoric a.史前的
hunter n.猎人
obsidian n.[矿]黑曜石
migratory a.迁移的,流浪的
nestling n.尚未离巢的小鸟,婴孩
sculptor n.雕刻家
parasite n.寄生虫
alder n.[植]桤木
pullman n.卧车,普式火车
rocky a.岩石的,稳固的
desertification n.荒漠化,沙漠化
analyze vt.分析,分解
surge n./v.(波涛)汹涌,涌起
ogallala n.奥加拉拉(美国地名)
sophisticate a.诡辩的,久经世故的
archaeological a.考古学的
debris n.碎片,残骸
texture n.质地,(材料等的)结构
archaeologist n.考古学家
